Timestamp (ms),Smoothed Speed (mm/s)
1630002068920,1933.3714841354852
1630002068937,1911.3232054068717
1630002068954,1875.7298772897145
1630002068970,1867.3045379335165
1630002068987,1828.2646722392954
1630002069004,1771.8309334694482
1630002069020,1715.7469993645957
1630002069037,1709.6670135369138
1630002069054,1679.8518282319335
1630002069070,1645.437140652663
1630002069087,1761.108583466807
1630002069104,1694.183651362367
1630002069120,1661.2942694816707
1630002069137,1762.99691915029
1630002069154,1780.248423323651
1630002069170,1711.8039383178154
1630002069187,1652.547087722921
1630002069204,1636.5238581531128
1630002069221,1709.3958479061466
1630002069237,1711.0629585411034
1630002069254,1687.6814023155214
1630002069271,1640.1142305664803
1630002069287,1657.9715218300455
1630002069304,1646.3817908325407
1630002069321,1616.2573721375643
1630002069337,1573.2841269307737
1630002069354,1535.7705703020993
1630002069370,1491.6742581517944
1630002069387,1462.9894173497405
1630002069404,1474.1220615413079
1630002069420,1423.1681903755618
1630002069437,1403.001882915357
1630002069454,1385.3382104785
1630002069471,1403.386310730664
1630002069487,1412.662587936771
1630002069504,1371.0343522821713
1630002069521,1384.911865672334
1630002069537,1353.1584864503386
1630002069554,1349.7015724111789
1630002069570,1339.569425890667
1630002069587,1312.0353863957505
1630002069604,1406.3906337533965
1630002069620,1380.6412148480672
1630002069637,1425.3503277112388
1630002069654,1522.4039879713469
1630002069671,1515.830791681148
1630002069687,1478.3805455659226
1630002069704,1475.5251999191282
1630002069720,1499.738498203209
1630002069737,1498.9854113832655
1630002069754,1473.4661083560352
1630002069770,1483.9056663206725
1630002069787,1455.9237313993806
1630002069804,1421.922937159943
1630002069821,1462.1472418571427
1630002069837,1431.387041043501
1630002069854,1393.401414920905
1630002069870,1458.334478458708
1630002069887,1435.2901588561306
1630002069904,1469.037729916853
1630002069920,1516.0005972305346
1630002069937,1513.4326765863032
1630002069954,1544.8439780342098
1630002069970,1553.1542657978753
1630002069987,1502.0759978911385
1630002070004,1484.5796324244236
1630002070020,1465.5511848331528
1630002070037,1461.0975541516123
1630002070054,1487.3329578119988
1630002070070,1563.733443285749
1630002070087,1496.7988715566837
1630002070104,1453.8261004236422
1630002070120,1456.6922708226352
1630002070137,1412.1327772599886
1630002070154,1358.224951406517
1630002070171,1321.9856004895896
1630002070187,1287.7661054815574
1630002070204,1238.4061419248908
1630002070221,1293.198006004758
1630002070237,1274.123551020485
1630002070254,1437.2937256678051
1630002070271,1418.8891426646962
1630002070287,1362.4861224659905
1630002070304,1409.194597266744
1630002070320,1468.6150878269589
1630002070337,1422.3762342641223
1630002070354,1422.2150428386622
1630002070371,1402.7115160602966
1630002070387,1439.8704699545017
1630002070404,1451.3162439585392
1630002070421,1499.8182047963148
1630002070437,1534.5945106749496
1630002070454,1457.5462878803132
1630002070471,1521.2788353199821
1630002070487,1473.6931166752515
1630002070504,1463.564273527018
1630002070520,1380.8797105461224
1630002070537,1350.5764898997859
1630002070554,1333.75649194395
1630002070571,1264.4136588695033
1630002070587,1396.7167627608492
1630002070604,1323.5113523751897
1630002070621,1252.771790611909
1630002070637,1291.7859981321305
1630002070654,1259.2239699718211
1630002070670,1220.7498543898648
1630002070687,1230.5619825789208
1630002070704,1186.5136395945224
1630002070721,1239.281569313546
1630002070737,1645.6656683479894
1630002070754,1579.0200737435262
1630002070771,1564.2312170155217
1630002070787,1611.774339294992
1630002070804,1583.560943365941
1630002070821,1574.8848957186879
1630002070837,1507.456593944156
1630002070854,1450.6447354103736
1630002070870,1385.7059766236555
1630002070887,1429.5931426747845
1630002070904,1459.5757815915797
1630002070921,1477.385514695113
1630002070937,1423.8646434465431
1630002070954,1377.9405046445736
1630002070971,1333.5281428998826
1630002070987,1337.615875608653
1630002071004,1375.0940395231037
1630002071020,1368.1711042636512
1630002071037,1460.7515689159754
1630002071054,1580.5698448646124
1630002071071,1601.8079841979948
1630002071087,1577.5248589651137
1630002071104,1573.020102682559
1630002071120,1550.05281200932
1630002071137,1591.262138554886
1630002071154,1578.165137683337
1630002071170,1585.38099137429
1630002071187,1559.182530249256
1630002071204,1629.1684809246187
1630002071221,1578.3639858932727
1630002071237,1628.269511353795
1630002071254,1641.3200371192218
1630002071271,1664.4243588153251
1630002071287,1610.9684924032315
1630002071304,1587.6440019451682
1630002071320,1598.9059598194285
1630002071337,1548.2655370677294
1630002071354,1527.4158625215084
1630002071371,1512.9810271599738
1630002071387,1475.7663115317248
1630002071404,1574.4413052754876
1630002071421,1637.7820091753383
1630002071437,1900.4787833827143
1630002071454,1930.2779436628932
1630002071471,1938.4246947716217
1630002071487,1868.254306556551
1630002071504,1824.7334401412775
1630002071521,1762.6225012934865
1630002071537,1773.7067787685364
1630002071554,1746.9476711134535
1630002071570,1690.898650904379
1630002071587,1665.1502100175887
1630002071604,1664.740049945385
1630002071621,1714.6738954813545
